Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
OO,6247,DEN,HLN,6,758,116,1
F9,795,DEN,PDX,6,760,164,0
OO,6728,DEN,MKE,6,760,143,0
UA,558,DEN,TPA,6,760,206,0
WN,1901,SAN,DEN,6,760,135,1
OO,6258,EGE,DEN,6,762,53,0
UA,228,PHX,DEN,6,764,102,0
CO,629,DEN,EWR,6,765,225,1
OO,6988,DEN,COS,6,765,35,0
OO,6261,DEN,TUL,6,766,98,1
OO,6590,DEN,MEM,6,770,136,1
UA,753,SFO,DEN,6,770,156,0
WN,2312,MCI,DEN,6,770,110,1
UA,316,DEN,IAD,6,775,195,0
WN,924,BWI,DEN,6,775,255,1
OO,6643,DEN,RAP,6,776,69,0
OO,6700,LNK,DEN,6,776,92,0
OO,6527,MTJ,DEN,6,777,52,0
UA,908,DEN,ORD,6,777,143,1
OO,7048,ICT,DEN,6,778,90,0
OO,6377,CPR,DEN,6,779,55,1
F9,260,DEN,SNA,6,780,140,0
OO,6573,HDN,DEN,6,782,57,0
UA,336,LAX,DEN,6,782,139,1
OO,6337,GJT,DEN,6,783,57,0
UA,247,LAS,DEN,6,783,114,0
AS,672,SEA,DEN,6,785,155,0
OO,4621,DEN,SLC,6,785,90,0
WN,1261,DEN,PDX,6,785,175,1
WN,1340,DEN,SJC,6,785,165,1
WN,1777,SEA,DEN,6,785,155,1
WN,1916,DEN,SLC,6,785,90,1
WN,2274,DEN,TUS,6,785,115,1
WN,2955,DEN,SMF,6,785,160,1
OO,7050,GCC,DEN,6,788,92,0
OO,6420,BOI,DEN,6,789,107,1
UA,784,PSP,DEN,6,789,124,1
DL,134,DEN,ATL,6,790,174,1
F9,413,DEN,LAX,6,790,142,0
F9,561,DEN,SAN,6,790,137,0
F9,857,DEN,PHX,6,790,108,0
OO,6735,MSO,DEN,6,793,112,1
OO,6954,TUL,DEN,6,794,106,0
AA,481,DEN,DFW,6,795,115,1
MQ,3003,DEN,LAX,6,795,150,0
US,488,PHX,DEN,6,795,109,1
WN,1647,DEN,PHX,6,795,115,1
OO,6541,BIS,DEN,6,798,102,0
UA,340,OMA,DEN,6,798,96,0
F9,777,DEN,LAS,6,800,112,1
UA,138,DEN,LGA,6,800,219,1
WN,2573,PHX,DEN,6,800,110,1
OO,7040,RNO,DEN,6,801,134,1
DL,2108,DEN,MSP,6,802,115,1
OO,6324,MOT,DEN,6,802,97,0
OO,6481,ABQ,DEN,6,802,76,0
F9,499,DEN,CAK,6,805,162,0
OO,6632,SGF,DEN,6,805,131,0
UA,742,SEA,DEN,6,806,151,0
OO,6937,DRO,DEN,6,807,60,0
UA,523,FSD,DEN,6,808,108,0
WN,1903,DEN,SEA,6,810,185,1
WN,3007,DEN,HOU,6,810,140,1
OO,6615,GTF,DEN,6,812,112,1
OO,6563,ASE,DEN,6,813,45,0
EV,5005,MEM,DEN,6,815,155,0
OO,6648,DEN,ICT,6,815,82,0
OO,6718,DEN,XNA,6,815,102,1
UA,548,SLC,DEN,6,816,83,0
OO,6349,DEN,OMA,6,817,88,1
UA,406,BIL,DEN,6,818,92,0
OO,6534,IDA,DEN,6,819,89,0
UA,356,DEN,MCO,6,820,205,1
OO,6726,JAC,DEN,6,823,74,0
AA,1073,DFW,DEN,6,825,120,0
F9,727,DCA,DEN,6,825,237,0
UA,733,DEN,SFO,6,825,164,0
US,300,DEN,CLT,6,825,179,0
WN,2060,TUS,DEN,6,825,115,1
WN,426,LAX,DEN,6,825,135,0
OO,6765,BZN,DEN,6,828,104,0
UA,781,DEN,LAX,6,830,154,1
UA,940,DEN,ORD,6,830,149,1
WN,1485,SNA,DEN,6,830,135,1
WN,1518,BOI,DEN,6,830,105,0
WN,2014,LAS,DEN,6,830,110,1
WN,2841,DTW,DEN,6,830,205,1
DL,1410,DEN,DTW,6,835,168,0
UA,416,TUS,DEN,6,835,110,0
UA,560,PHX,DEN,6,836,104,0
OO,6971,DEN,TUS,6,838,118,1
OO,6578,DEN,BIS,6,839,94,0
DL,1817,ATL,DEN,6,840,200,1
WN,387,DEN,MSP,6,840,120,0
WN,639,DEN,AMA,6,840,70,1
WN,1793,ONT,DEN,6,845,130,0
WN,2495,PHX,DEN,6,845,105,0
F9,135,DFW,DEN,6,847,120,0
OO,6945,DEN,OKC,6,847,89,0
OO,6988,COS,DEN,6,848,40,1
OO,6951,DEN,FSD,6,849,84,0
OO,6999,MAF,DEN,6,849,118,0
F9,107,MSP,DEN,6,851,124,0
WN,2312,DEN,LAS,6,855,120,1
WN,880,SLC,DEN,6,855,85,0
WN,937,DEN,BNA,6,855,145,1
UA,657,DEN,SEA,6,857,177,0
DL,1609,MSP,DEN,6,860,123,0
WN,2833,DEN,SAN,6,860,145,1
WN,2866,DEN,MCI,6,860,90,0
OO,6616,DEN,DRO,6,864,62,1
AA,1970,DEN,DFW,6,865,115,0
F9,283,STL,DEN,6,865,140,0
F9,371,MKE,DEN,6,865,155,1
F9,343,BKG,DEN,6,870,130,0
FL,301,ATL,DEN,6,870,215,0
MQ,3765,DEN,ORD,6,870,150,0
UA,731,EWR,DEN,6,870,268,0
CO,599,IAH,DEN,6,874,144,1
OO,6579,DEN,ASE,6,874,43,0
OO,6637,DEN,BZN,6,874,109,0
OO,6643,RAP,DEN,6,875,77,0
WN,2792,DEN,PHX,6,875,120,0
OO,6570,HSV,DEN,6,877,183,0
UA,748,LAX,DEN,6,879,141,0
AA,789,ORD,DEN,6,880,155,0
CO,498,DEN,IAH,6,880,136,0
F9,231,BNA,DEN,6,880,173,0
OO,4593,DEN,SLC,6,880,89,0
OO,6608,DEN,RAP,6,880,62,1
UA,453,BWI,DEN,6,880,247,0
UA,503,DEN,LAS,6,880,123,1
WN,1608,STL,DEN,6,880,150,0
UA,338,MCI,DEN,6,881,109,1
WN,2854,MSP,DEN,6,885,135,0
F9,652,SFO,DEN,6,890,147,0
FL,641,DEN,MKE,6,892,143,1
F9,834,SEA,DEN,6,893,152,0
OO,6865,MLI,DEN,6,893,141,0
UA,720,SFO,DEN,6,893,150,0
OO,6916,DEN,ABQ,6,896,74,0
OO,6233,DEN,RDM,6,897,156,0
OO,6622,DEN,GJT,6,897,52,0
F9,226,DEN,MDW,6,900,135,1
F9,261,SNA,DEN,6,900,136,0
UA,923,IAD,DEN,6,900,242,0
US,73,DEN,PHX,6,900,112,0
WN,1011,DEN,BWI,6,900,200,1
WN,1890,FLL,DEN,6,900,280,1
F9,387,FLL,DEN,6,902,264,0
UA,779,BOS,DEN,6,902,287,0
F9,796,PDX,DEN,6,904,143,0
DL,1917,ATL,DEN,6,905,201,1
F9,290,DEN,STL,6,905,115,0
F9,374,DEN,MKE,6,905,132,0
UA,745,LGA,DEN,6,905,273,0
OO,6391,DEN,TUS,6,906,118,0
OO,7043,DEN,COS,6,906,33,1
UA,523,DEN,PHX,6,906,117,0
F9,564,SAN,DEN,6,908,135,0
OO,6571,DEN,PDX,6,908,171,0
OO,6715,DEN,MSO,6,908,126,0
OO,6737,DEN,FAT,6,908,142,0
UA,21,DEN,OAK,6,908,168,0
UA,438,DEN,BOI,6,908,119,0
F9,144,DEN,HOU,6,910,139,0
UA,909,ORD,DEN,6,910,170,1
WN,2612,MDW,DEN,6,910,160,1
WN,571,DEN,MDW,6,910,135,0
F9,414,LAX,DEN,6,912,135,1
OO,6628,BHM,DEN,6,914,190,0
F9,516,DEN,LGA,6,915,220,0
UA,230,LAS,DEN,6,919,117,0
OO,6393,DEN,JAC,6,920,84,1
UA,630,MSY,DEN,6,920,178,0
OO,6696,DEN,MTJ,6,925,55,0
WN,670,HOU,DEN,6,925,155,1
AA,2010,DEN,DFW,6,930,115,1
AA,2583,DFW,DEN,6,930,125,0
WN,2542,DEN,SLC,6,930,90,0
F9,770,LAS,DEN,6,933,111,0
OO,6627,DEN,PSP,6,935,131,0
OO,6649,RKS,DEN,6,935,70,0
WN,801,BOS,DEN,6,935,290,1
WN,924,DEN,OAK,6,935,165,1
F9,858,PHX,DEN,6,938,107,0
OO,6677,DFW,DEN,6,939,128,1
EV,5422,DEN,MEM,6,940,130,0
F9,843,MDW,DEN,6,940,157,0
UA,735,DEN,SFO,6,940,165,0
OO,6525,ATL,DEN,6,944,214,0
UA,215,MCO,DEN,6,944,251,1
AA,521,MIA,DEN,6,945,265,0
OO,6310,CMH,DEN,6,945,202,0
WN,2573,DEN,PHL,6,945,210,0
WN,2841,DEN,LAX,6,945,155,0
WN,2920,ABQ,DEN,6,945,75,0
UA,780,PIT,DEN,6,946,228,0
F9,100,DEN,MSP,6,947,113,0
UA,85,DEN,LAX,6,947,153,1
F9,145,HOU,DEN,6,949,141,0
OO,6875,DEN,MSN,6,949,127,0
OO,6993,DEN,MOT,6,949,102,0
UA,432,DEN,SEA,6,949,177,0
UA,976,DEN,IAD,6,949,201,0
MQ,3045,DEN,LAX,6,950,150,0
UA,574,DEN,SAN,6,950,140,1
WN,1364,DEN,OKC,6,950,85,1
OO,6577,BNA,DEN,6,951,178,1
OO,6579,ASE,DEN,6,952,48,0
OO,6616,DRO,DEN,6,952,60,0
UA,375,IAH,DEN,6,952,148,0
UA,465,TPA,DEN,6,952,248,1
OO,6468,MKE,DEN,6,953,185,1
OO,6605,DEN,BIS,6,954,94,0
DL,1311,DTW,DEN,6,955,194,1
F9,138,DEN,DFW,6,955,108,1
MQ,3012,LAX,DEN,6,955,145,0
MQ,3766,ORD,DEN,6,955,155,0
OO,6950,DEN,FSD,6,955,86,0
UA,938,DEN,ORD,6,955,144,1
US,490,PHX,DEN,6,955,105,0
OO,6425,MSN,DEN,6,957,158,1
DL,2016,DEN,ATL,6,960,173,1
WN,1518,DEN,SFO,6,960,170,0
WN,688,AMA,DEN,6,960,80,1
OO,6641,SAT,DEN,6,963,137,0
OO,6492,LIT,DEN,6,964,145,1
OO,6501,DEN,LIT,6,964,116,1
UA,717,DEN,LAS,6,964,121,0
UA,529,DEN,MCI,6,965,90,0
WN,1211,BWI,DEN,6,965,260,0
WN,1698,MCI,DEN,6,965,110,0
F9,421,ATL,DEN,6,966,204,0
OO,7043,COS,DEN,6,967,40,1
F9,799,DAY,DEN,6,970,184,0
WN,1447,OKC,DEN,6,970,100,0
OO,6739,GRR,DEN,6,971,189,0
F9,626,DTW,DEN,6,974,191,1
DL,1317,ATL,DEN,6,975,205,0
WN,1191,DEN,FLL,6,975,230,0
WN,1223,DEN,BOS,6,975,225,1
WN,1304,DEN,RDU,6,975,195,0
WN,1521,DEN,TPA,6,975,205,1
WN,2060,DEN,BDL,6,975,225,0
WN,880,DEN,MCO,6,975,210,0
OO,6622,GJT,DEN,6,977,57,0
WN,2594,IAD,DEN,6,980,240,1
WN,2776,OMA,DEN,6,980,100,1
OO,6707,DTW,DEN,6,982,200,1
OO,6971,TUS,DEN,6,982,110,0
OO,6307,DEN,DTW,6,983,162,0
UA,377,PHX,DEN,6,983,107,0
OO,6294,DEN,DRO,6,985,62,0
OO,6420,DEN,MAF,6,985,96,0
OO,6633,DEN,TUS,6,985,117,0
WN,1355,LAS,DEN,6,985,115,0
WN,1901,DEN,MDW,6,985,145,0
WN,1934,SAT,DEN,6,985,140,0
WN,3167,DEN,LAS,6,985,120,1
WN,3584,LAX,DEN,6,985,135,0
WN,743,PHX,DEN,6,985,110,0
UA,448,DEN,ICT,6,986,80,0
OO,6484,DEN,LNK,6,987,78,1
OO,6556,DEN,TUL,6,987,93,0
OO,6680,DEN,ASE,6,987,44,0
UA,271,DEN,OMA,6,987,80,0
UA,406,DEN,LGA,6,987,212,0
F9,619,IND,DEN,6,988,167,0
OO,6621,DEN,MLI,6,988,113,0
UA,146,SFO,DEN,6,988,150,0
OO,6906,CID,DEN,6,989,133,1
F9,264,DEN,SNA,6,990,142,0
F9,360,DEN,TPA,6,990,196,0
F9,720,DEN,DCA,6,990,193,0
OO,6954,DEN,SLC,6,990,88,0
UA,329,DSM,DEN,6,990,120,0
WN,2035,SEA,DEN,6,990,160,0
WN,2854,DEN,PHX,6,990,115,1
UA,437,DEN,MSY,6,992,159,0
F9,363,SDF,DEN,6,993,175,0
OO,6388,DEN,CID,6,993,108,0
OO,6928,DEN,FAR,6,993,107,0
WN,1869,PHL,DEN,6,995,275,1
WN,2558,SAN,DEN,6,995,140,1
OO,6535,CVG,DEN,6,996,194,0
OO,6648,ICT,DEN,6,997,94,0
OO,6261,TUL,DEN,6,998,111,0
OO,6349,OMA,DEN,6,999,100,0
F9,371,DEN,LAX,6,1000,142,1
OO,6877,DEN,SGF,6,1000,99,0
WN,2916,DEN,AUS,6,1000,125,0
WN,3122,TUL,DEN,6,1000,105,0
WN,583,SLC,DEN,6,1000,85,0
UA,258,DEN,OKC,6,1003,89,0
OO,6361,DEN,COS,6,1004,35,0
OO,6711,DEN,PIA,6,1004,121,0
OO,6916,ABQ,DEN,6,1004,76,0
OO,6938,DEN,GJT,6,1004,53,0
F9,787,DEN,LAS,6,1005,114,0
FL,308,DEN,ATL,6,1005,170,0
OO,6696,MTJ,DEN,6,1010,50,0
WN,1549,IND,DEN,6,1010,180,0
WN,1874,TPA,DEN,6,1010,250,1
UA,254,DEN,ORD,6,1013,141,1
WN,2079,OAK,DEN,6,1015,140,0
WN,2475,DEN,OKC,6,1015,85,0
F9,671,MCO,DEN,6,1017,239,0
OO,4704,SLC,DEN,6,1017,83,0
OO,6718,XNA,DEN,6,1017,123,0
OO,6665,COS,DEN,6,1019,40,0
CO,228,EWR,DEN,6,1020,267,0
UA,342,DEN,BOS,6,1020,231,0
WN,1607,MSY,DEN,6,1020,180,1
WN,3848,BNA,DEN,6,1020,185,1
OO,6768,FAR,DEN,6,1022,122,0
OO,6578,BIS,DEN,6,1024,102,0
DL,2009,MSP,DEN,6,1025,123,0
F9,580,SLC,DEN,6,1025,85,0
US,491,DEN,PHX,6,1025,115,0
WN,1777,DEN,DTW,6,1025,170,0
WN,730,AUS,DEN,6,1025,145,1
OO,6951,FSD,DEN,6,1028,102,0
AA,580,DEN,ORD,6,1030,145,1
WN,2014,DEN,HOU,6,1030,140,1
OO,6945,OKC,DEN,6,1031,99,0
F9,382,DEN,FLL,6,1035,224,1
WN,2492,DEN,MSY,6,1035,155,0
UA,408,DEN,MCO,6,1036,211,1
AA,1028,DEN,DFW,6,1040,120,0
UA,336,DEN,DSM,6,1044,99,0
DL,1417,ATL,DEN,6,1045,207,0
WN,1882,MSP,DEN,6,1045,135,0
WN,2612,DEN,TUL,6,1045,90,1
WN,3151,DEN,IAD,6,1045,190,1
WN,426,DEN,BWI,6,1045,200,0
WN,670,DEN,MDW,6,1045,145,1
UA,498,DEN,DFW,6,1047,118,0
AA,2438,DFW,DEN,6,1050,125,0
F9,511,LGA,DEN,6,1050,270,0
UA,828,DEN,EWR,6,1050,224,0
UA,937,IAD,DEN,6,1050,233,0
WN,1188,HOU,DEN,6,1050,155,0
WN,2776,DEN,SNA,6,1050,150,1
WN,2875,MCO,DEN,6,1050,255,1
WN,2920,DEN,IND,6,1050,145,0
UA,941,ORD,DEN,6,1051,170,1
AS,673,DEN,SEA,6,1055,177,0
WN,1485,DEN,MCI,6,1055,95,1
CO,59,IAH,DEN,6,1065,148,1
WN,1793,DEN,SAT,6,1065,130,0
WN,1908,SFO,DEN,6,1065,150,0
DL,2008,DEN,MSP,6,1070,117,1
WN,2238,LAS,DEN,6,1070,115,0
F9,672,DEN,MCO,6,1075,205,0
WN,3122,DEN,ABQ,6,1075,75,0
F9,175,DEN,TUS,6,1080,113,1
F9,303,DEN,GEG,6,1080,145,1
F9,707,RSW,DEN,6,1080,254,0
US,727,PHL,DEN,6,1080,265,0
OO,6989,DEN,COS,6,1084,35,1
MQ,3773,DEN,ORD,6,1085,135,0
WN,1953,DEN,MDW,6,1085,135,1
F9,551,DEN,SAN,6,1088,141,1
F9,411,DEN,LAX,6,1090,147,1
F9,799,DEN,PDX,6,1090,165,1
F9,843,DEN,SEA,6,1090,177,0
WN,1934,DEN,MSP,6,1090,120,1
F9,725,DCA,DEN,6,1095,239,0
F9,773,DEN,LAS,6,1095,118,1
US,489,CLT,DEN,6,1095,235,0
WN,2001,LAX,DEN,6,1095,135,0
WN,2361,MCI,DEN,6,1095,115,0
WN,2932,STL,DEN,6,1095,150,1
F9,788,LAS,DEN,6,1099,110,0
WN,1573,DEN,STL,6,1100,120,1
WN,2285,MDW,DEN,6,1105,165,1
F9,820,MCI,DEN,6,1106,106,0
DL,167,JFK,DEN,6,1110,286,1
UA,364,LAX,DEN,6,1110,141,0
WN,2998,DEN,BOI,6,1110,125,0
AA,2513,DFW,DEN,6,1115,125,1
F9,267,SNA,DEN,6,1115,136,0
F9,287,STL,DEN,6,1120,144,0
OO,6683,DEN,SLC,6,1120,96,0
OO,6906,DEN,BUR,6,1120,148,0
UA,490,DEN,ORD,6,1120,141,0
WN,743,DEN,OMA,6,1120,80,0
OO,6922,DEN,MTJ,6,1121,56,0
OO,6999,DEN,BFL,6,1122,152,0
OO,6309,DEN,SBA,6,1123,151,0
OO,6891,DEN,MSO,6,1123,122,0
F9,412,LAX,DEN,6,1125,131,1
MQ,3029,LAX,DEN,6,1125,140,1
OO,6739,DEN,ELP,6,1125,102,0
OO,6709,DEN,MRY,6,1126,166,0
OO,6677,DEN,FAT,6,1127,152,0
OO,6929,DEN,DRO,6,1127,64,0
OO,6717,DEN,PSP,6,1128,135,0
UA,595,DEN,SFO,6,1128,167,0
UA,779,DEN,LAS,6,1128,120,0
OO,6565,DEN,TUS,6,1129,117,0
F9,532,MDW,DEN,6,1130,157,1
OO,6525,DEN,COS,6,1130,35,1
WN,1460,PHX,DEN,6,1130,110,1
WN,2594,DEN,SAN,6,1130,150,1
OO,6665,DEN,EUG,6,1132,171,0
UA,283,DEN,GEG,6,1132,152,0
UA,453,DEN,BOI,6,1132,126,0
OO,6924,DEN,HDN,6,1133,49,0
UA,329,DEN,PHX,6,1133,119,0
UA,745,DEN,PDX,6,1134,172,0
AS,678,SEA,DEN,6,1135,154,0
F9,498,CAK,DEN,6,1135,199,0
WN,1211,DEN,LAX,6,1135,160,1
WN,730,DEN,LAS,6,1135,120,1
WN,801,DEN,SFO,6,1135,170,1
OO,6865,DEN,FCA,6,1136,138,0
OO,6253,DEN,BIL,6,1137,93,0
OO,6768,DEN,JAC,6,1138,88,0
UA,296,DEN,RNO,6,1138,145,0
UA,375,DEN,SMF,6,1138,158,0
F9,373,MKE,DEN,6,1139,153,0
UA,215,DEN,ONT,6,1139,145,0
F9,282,DEN,STL,6,1140,119,1
UA,939,DEN,SAN,6,1140,149,0
OO,6561,DEN,GTF,6,1141,118,0
UA,407,DEN,SEA,6,1142,183,0
OO,6353,DEN,RKS,6,1143,75,0
OO,6468,DEN,CPR,6,1143,55,0
OO,6538,DEN,IDA,6,1144,98,0
F9,491,DEN,CAK,6,1145,166,0
WN,1882,DEN,PHX,6,1145,120,1
OO,6425,DEN,BZN,6,1146,109,1
OO,6760,DEN,PSC,6,1147,146,0
OO,6357,DEN,EGE,6,1148,46,0
OO,6641,DEN,GJT,6,1149,53,0
F9,108,DEN,MSP,6,1150,114,0
F9,147,HOU,DEN,6,1150,145,0
F9,612,DEN,IND,6,1150,140,0
F9,834,DEN,DTW,6,1150,162,1
OO,6492,DEN,COD,6,1150,81,1
OO,6996,DEN,GUC,6,1150,44,0
OO,6467,DEN,MFR,6,1153,170,0
OO,6707,DEN,ASE,6,1153,45,0
OO,6985,DEN,RAP,6,1153,62,0
OO,7040,DEN,GCC,6,1153,89,0
UA,723,DEN,SJC,6,1154,163,1
F9,214,DEN,AUS,6,1155,124,0
WN,1561,LAS,DEN,6,1155,110,1
AA,2382,DEN,DFW,6,1160,110,0
F9,115,MSP,DEN,6,1160,126,0
OO,6577,DEN,COS,6,1160,35,0
F9,173,DFW,DEN,6,1163,119,0
AA,867,ORD,DEN,6,1165,160,1
WN,1188,DEN,SMF,6,1175,165,1
WN,1607,DEN,OAK,6,1175,170,1
WN,1869,DEN,GEG,6,1175,155,1
WN,1874,DEN,SJC,6,1175,165,0
WN,3848,DEN,SEA,6,1175,190,1
WN,2361,DEN,TUS,6,1180,115,1
UA,765,DEN,LAX,6,1181,166,0
MQ,3013,DEN,LAX,6,1185,155,0
US,493,PHX,DEN,6,1190,110,0
F9,609,IND,DEN,6,1195,165,1
WN,2932,DEN,LAX,6,1205,155,1
DL,1412,SLC,DEN,6,1210,88,1
UA,959,ORD,DEN,6,1215,159,1
WN,2875,DEN,ONT,6,1215,145,1
US,497,CLT,DEN,6,1230,228,0
AA,1808,MIA,DEN,6,1235,270,0
CO,299,IAH,DEN,6,1252,144,0
UA,105,HNL,DEN,6,1260,423,0
UA,454,LIH,DEN,6,1268,415,0
B6,97,JFK,DEN,6,1270,272,0
F9,266,DEN,SNA,6,1270,140,1
F9,511,DEN,SEA,6,1270,174,1
F9,589,DEN,SLC,6,1270,85,0
F9,725,DEN,SAN,6,1270,139,1
F9,797,DEN,PDX,6,1270,162,1
F9,861,DEN,PHX,6,1271,108,0
F9,419,DEN,LAX,6,1275,149,0
F9,667,DEN,SFO,6,1275,156,1
UA,50,KOA,DEN,6,1275,413,0
F9,789,DEN,LAS,6,1285,113,0
AA,1069,DFW,DEN,6,1300,120,0
DL,2017,ATL,DEN,6,1300,218,0
UA,533,IAD,DEN,6,1312,247,0
FL,309,ATL,DEN,6,1340,215,0
UA,92,OGG,DEN,6,1365,404,0
UA,42,HNL,DEN,6,1380,423,0
AA,1488,DEN,MIA,6,1435,220,1
US,498,DEN,CLT,7,55,179,0
B6,98,DEN,JFK,7,59,213,0
DL,1416,DEN,ATL,7,70,161,0
UA,576,SEA,DEN,7,335,159,0
OO,6644,TUS,DEN,7,336,112,0
OO,6647,BZN,DEN,7,345,107,0
UA,756,SFO,DEN,7,348,157,0
CO,198,DEN,IAH,7,360,141,0
DL,2540,DEN,CVG,7,360,155,0
OO,6266,EUG,DEN,7,360,155,0
OO,6285,MFR,DEN,7,360,155,0
OO,6586,PSP,DEN,7,360,128,0
OO,6612,SLC,DEN,7,360,93,0
OO,6682,SBA,DEN,7,360,142,0
OO,6732,MRY,DEN,7,360,151,0
UA,154,PDX,DEN,7,360,146,0
UA,18,LAX,DEN,7,360,145,0
UA,205,RNO,DEN,7,360,129,0
UA,410,SMF,DEN,7,360,143,0
UA,532,DEN,ORD,7,360,144,0
UA,59,DEN,SFO,7,360,163,0
UA,740,OAK,DEN,7,360,145,0
WN,735,IAD,DEN,7,360,240,0
OO,6497,BFL,DEN,7,361,144,0
OO,6749,RAP,DEN,7,363,76,0
OO,6674,FAT,DEN,7,364,139,0
AA,1002,DEN,DFW,7,365,125,0
OO,6722,PSC,DEN,7,365,139,1
UA,112,ONT,DEN,7,365,139,0
WN,1945,SEA,DEN,7,365,160,0
OO,7052,DRO,DEN,7,366,76,0
UA,791,LAS,DEN,7,366,120,0
OO,6482,FAR,DEN,7,370,128,0
OO,7037,CPR,DEN,7,373,69,0
UA,812,GEG,DEN,7,374,133,0
DL,1516,DEN,ATL,7,375,170,0
F9,103,MSP,DEN,7,375,131,0
F9,285,STL,DEN,7,375,144,0
F9,38,SEA,DEN,7,375,154,0
F9,496,CAK,DEN,7,375,202,0
FL,300,DEN,ATL,7,375,170,0
WN,138,LAS,DEN,7,375,115,0
OO,6438,GJT,DEN,7,379,60,0
F9,650,SFO,DEN,7,380,150,0
F9,765,AUS,DEN,7,380,133,0
OO,6460,HDN,DEN,7,380,68,0
UA,484,SAN,DEN,7,380,146,0
WN,496,PDX,DEN,7,380,145,1
OO,6727,MTJ,DEN,7,384,63,0
F9,71,DTW,DEN,7,385,189,0
F9,790,PDX,DEN,7,385,144,0
WN,125,PHX,DEN,7,385,105,0
UA,491,OKC,DEN,7,388,110,0
F9,416,LAX,DEN,7,390,140,0
F9,510,SAN,DEN,7,390,143,0
WN,324,GEG,DEN,7,390,135,0
WN,62,ONT,DEN,7,390,135,1
OO,6540,BIS,DEN,7,391,107,0
OO,6564,COS,DEN,7,391,49,0
UA,268,OMA,DEN,7,392,106,0
AA,1399,DEN,ORD,7,395,155,0
F9,304,GEG,DEN,7,395,130,0
OO,6951,TUL,DEN,7,395,110,0
UA,875,ICT,DEN,7,398,96,0
F9,110,DEN,MSP,7,400,117,0
F9,366,DEN,MKE,7,400,133,0
OO,6293,FSD,DEN,7,400,105,1
WN,1622,DTW,DEN,7,400,200,0
WN,973,SJC,DEN,7,400,145,0
AA,393,DFW,DEN,7,405,125,1
F9,847,IND,DEN,7,405,169,0
OO,6764,LNK,DEN,7,410,97,0
US,62,DEN,CLT,7,410,189,0
WN,1450,DEN,LAS,7,410,115,0
F9,128,DEN,DFW,7,420,110,0
F9,766,LAS,DEN,7,420,110,0
F9,815,DEN,MCI,7,420,93,0
UA,144,SFO,DEN,7,420,165,0
UA,386,SEA,DEN,7,420,162,0
UA,415,MSY,DEN,7,420,184,0
WN,1006,BOI,DEN,7,420,110,0
WN,2063,PHX,DEN,7,420,110,0
OO,6878,ASE,DEN,7,421,55,0
UA,388,TPA,DEN,7,422,246,0
US,484,DEN,PHL,7,425,210,0
OO,6394,FCA,DEN,7,428,130,0
OO,6656,JAC,DEN,7,428,87,0
UA,264,PHX,DEN,7,430,112,0
WN,1697,LAS,DEN,7,430,115,0
OO,6324,MSO,DEN,7,432,120,0
UA,328,LAX,DEN,7,432,153,0
B6,495,BOS,DEN,7,435,280,0
DL,513,DEN,SLC,7,435,90,0
OO,6945,BZN,DEN,7,435,107,0
UA,402,MCO,DEN,7,436,246,0
UA,848,SJC,DEN,7,438,160,0
AA,1264,DEN,DFW,7,440,125,1
DL,1616,DEN,ATL,7,440,168,0
OO,6419,COD,DEN,7,440,79,0
OO,6600,GTF,DEN,7,440,112,0
UA,445,BWI,DEN,7,440,249,0
WN,731,LAX,DEN,7,440,140,0
UA,300,RNO,DEN,7,443,140,0
MQ,3004,DEN,LAX,7,445,160,0
OO,6870,HLN,DEN,7,445,113,0
OO,6670,BIL,DEN,7,446,94,0
OO,6873,PSP,DEN,7,446,131,0
OO,6604,SLC,DEN,7,447,98,0
OO,6371,GCC,DEN,7,448,92,1
F9,728,DEN,DCA,7,450,196,0
OO,6550,TUS,DEN,7,450,112,0
OO,6668,IDA,DEN,7,450,102,0
UA,833,BOI,DEN,7,450,110,0
WN,965,DEN,MCO,7,450,210,0
OO,6228,ELP,DEN,7,451,116,1
WN,2529,DEN,LAX,7,455,160,0
AS,676,SEA,DEN,7,460,155,0
F9,383,FLL,DEN,7,460,268,0
OO,6638,RKS,DEN,7,460,85,0
WN,140,SAT,DEN,7,460,140,0
OO,6964,ONT,DEN,7,462,148,0
OO,6676,FAT,DEN,7,463,146,0
OO,6817,BUR,DEN,7,463,136,0
F9,170,TUS,DEN,7,465,108,0
F9,868,PHX,DEN,7,465,105,0
OO,6472,MSN,DEN,7,465,170,0
OO,6654,MLI,DEN,7,465,157,0
OO,6843,COS,DEN,7,465,50,1
US,1521,CLT,DEN,7,465,225,0
WN,790,DEN,LAS,7,465,120,0
OO,6606,EGE,DEN,7,469,53,0
F9,572,SLC,DEN,7,470,82,0
UA,339,BOS,DEN,7,474,287,0
WN,682,DEN,PHX,7,475,125,0
UA,20,SMF,DEN,7,477,155,0
OO,6583,DEN,COS,7,478,31,0
OO,6625,DEN,BZN,7,478,110,0
OO,7046,DRO,DEN,7,479,76,0
UA,311,EWR,DEN,7,479,274,1
AS,677,DEN,SEA,7,480,175,0
OO,6532,CLE,DEN,7,480,206,0
UA,323,PHL,DEN,7,480,270,0
UA,361,LGA,DEN,7,480,276,0
UA,521,CMH,DEN,7,480,202,0
US,71,DEN,PHX,7,480,135,0
WN,1687,DEN,SLC,7,480,90,0
WN,2461,PHL,DEN,7,480,285,1
OO,6724,GJT,DEN,7,482,60,0
